document,method,path,status,mcp_family,capability,rule
admin/bootstrap-instance.mdx,POST,/api/v1/admin/bootstrap,intentionally_omitted,server.bootstrap,admin.bootstrap,admin-bootstrap-omitted
alicloud-auth/attach.mdx,POST,/api/v1/auth/alicloud-auth/identities/{identityId},intentionally_omitted,identityAliCloudAuth,identityAliCloudAuth.admin,alicloud-auth-omitted
alicloud-auth/login.mdx,POST,/api/v1/auth/alicloud-auth/login,intentionally_omitted,identityAliCloudAuth,identityAliCloudAuth.admin,alicloud-auth-omitted
alicloud-auth/retrieve.mdx,GET,/api/v1/auth/alicloud-auth/identities/{identityId},intentionally_omitted,identityAliCloudAuth,identityAliCloudAuth.admin,alicloud-auth-omitted
alicloud-auth/revoke.mdx,DELETE,/api/v1/auth/alicloud-auth/identities/{identityId},intentionally_omitted,identityAliCloudAuth,identityAliCloudAuth.admin,alicloud-auth-omitted
alicloud-auth/update.mdx,PATCH,/api/v1/auth/alicloud-auth/identities/{identityId},intentionally_omitted,identityAliCloudAuth,identityAliCloudAuth.admin,alicloud-auth-omitted
app-connections/1password/available.mdx,GET,/api/v1/app-connections/1password/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/1password/create.mdx,POST,/api/v1/app-connections/1password,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/1password/delete.mdx,DELETE,/api/v1/app-connections/1password/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/1password/get-by-id.mdx,GET,/api/v1/app-connections/1password/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/1password/get-by-name.mdx,GET,/api/v1/app-connections/1password/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/1password/list.mdx,GET,/api/v1/app-connections/1password,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/1password/update.mdx,PATCH,/api/v1/app-connections/1password/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/auth0/available.mdx,GET,/api/v1/app-connections/auth0/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/auth0/create.mdx,POST,/api/v1/app-connections/auth0,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/auth0/delete.mdx,DELETE,/api/v1/app-connections/auth0/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/auth0/get-by-id.mdx,GET,/api/v1/app-connections/auth0/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
